"Institutions","Links","Quantity of digitized items","IIIF","Copyright","Free Cultural Works license","Country","City","lat","lng","Additional data","Post",""
"Universitäts- und Landesbibliothek (ULB)","https://digital.bibliothek.uni-halle.de/hd/nav/classification/1406583 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Germany","Halle","51.486132","11.969532","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Haguenau&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Haguenau","48.813491","7.79125","Explore","No post available","0"
"Bibliotheque cantonale et universitaire de Lausanne","https://www.e-codices.unifr.ch/en/list/bcul Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Lausanne","46.522546","6.57926","Explore","No post available","0"
"Universitätsbibliothek Leipzig","http://www.manuscripta-mediaevalia.de/?xdb_objtype!%22digitalisierteHandschriften%22%20biblio%3ALeipzig%20sp-datum%3C1550 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Germany","Leipzig","51.332293","12.368593","Explore","No post available","0"
"Biblioteca del Museo Correr","https://nbm.regione.veneto.it/Generale/BibliotecaDigitale/manoscritti.html Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Italy","Venice","45.433576","12.337191","Explore","No post available","0"
"Musée gruérien","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Bulle%2C+Mus%C3%A9e+gru%C3%A9rien Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Bulle","46.616748","7.058722","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Langres&newSearch=1 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Langres","47.866816","5.334297","Explore","No post available","0"
"St. Patrick's College Drumcondra","https://www.isos.dias.ie/master.html?https://www.isos.dias.ie/libraries/SPD/english/index.html?ref= Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Ireland","Maynooth","53.370592","-6.253838","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Montbeliard&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Montbeliard","47.50961","6.798466","Explore","No post available","0"
"Hofbibliothek Aschaffenburg","https://daten.digitale-sammlungen.de/~db/0008/bsb00086015/images/index.html?seite=0001&l=de Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Germany","Aschaffenburg","49.97579","9.14211","Explore","No post available","0"
"Columbia University, Burke Library at Union Theological Seminary","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=22&docsPerPage=30 Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","United States of America","New York","40.811269","-73.961881","Explore","No post available","1"
"Zisterzienserstift","https://manuscripta.at/lib.php?libcode=AT3500 Digitized manuscripts","Unknown","no","Unknown","no","Austria","Heiligenkreuz","48.055796","16.130977","Explore","No post available","0"
"Bibliotheque Municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=MANS+%28LE%29&TOUT=true Digitized manuscripts","Unknown","no","Unknown","no","France","Mans (Le)","47.999356","0.2057","Explore","No post available","0"
